player_id,player_name,team,fga_rim,fgm_rim,fga_paint_non_ra,fgm_paint_non_ra,fga_midrange,fgm_midrange,fga_corner3,fgm_corner3,fga_above_break3,fgm_above_break3,total_fga,total_fgm,assisted_fgm,unassisted_fgm,ppg,rpg,apg
1628392,Isaiah Hartenstein,OKC,177,132,95,45,17,7,2.0,0.0,5,0,296.0,184.0,143.0,41.0,9.2,9.4,3.5
1630543,Isaiah Jackson,LAC,179,129,48,22,7,0,2.0,0.0,1,0,237.0,151.0,93.0,58.0,6.7,5.3,0.9
1630198,Isaiah Joe,OKC,50,31,27,16,39,19,101.0,54.0,326,127,543.0,247.0,224.0,23.0,11.1,2.5,1.3
1630587,Isaiah Livers,PHX,14,9,6,0,4,1,18.0,6.0,22,6,64.0,22.0,17.0,5.0,1.8,1.7,0.6
1641815,Isaiah Stevens,SAC,3,2,3,1,0,0,0.0,0.0,1,0,7.0,3.0,2.0,1.0,3.3,1.0,3.3
1630191,Isaiah Stewart,DET,186,142,92,37,4,2,50.0,20.0,70,20,402.0,221.0,171.0,50.0,10.0,5.0,1.1
1627826,Ivica Zubac,IND,263,181,207,102,12,5,0.0,0.0,0,0,482.0,288.0,192.0,96.0,14.1,10.6,2.2
1631120,JD Davison,HOU,12,8,16,7,4,1,8.0,0.0,24,8,64.0,24.0,14.0,10.0,2.5,1.2,1.3
1629630,Ja Morant,MEM,84,51,115,46,38,15,12.0,6.0,73,14,322.0,132.0,41.0,91.0,19.5,3.3,8.1
1642266,Ja'Kobe Walter,TOR,90,53,33,14,12,3,120.0,59.0,149,51,404.0,180.0,160.0,20.0,7.5,2.6,1.2
1631095,Jabari Smith Jr.,HOU,173,119,170,84,144,58,180.0,66.0,308,111,975.0,438.0,346.0,92.0,15.8,6.9,1.9
1631133,Jabari Walker,PHI,99,61,16,3,3,1,53.0,21.0,42,11,213.0,97.0,65.0,32.0,4.3,3.0,0.5
1631210,Jacob Toppin,ATL,3,3,2,1,1,0,0.0,0.0,0,0,6.0,4.0,2.0,2.0,1.6,0.2,0.2
1630702,Jaden Hardy,WAS,58,33,71,28,38,17,83.0,38.0,179,66,429.0,182.0,116.0,66.0,9.2,1.5,1.0
1631093,Jaden Ivey,CHI,57,34,34,12,31,18,23.0,9.0,111,41,256.0,114.0,81.0,33.0,8.5,2.5,1.8
1630183,Jaden McDaniels,MIN,229,163,224,101,106,50,95.0,43.0,155,60,809.0,417.0,300.0,117.0,14.8,4.2,2.7
1630256,Jae'Sean Tate,HOU,42,32,31,12,4,2,20.0,7.0,12,3,109.0,56.0,32.0,24.0,2.8,1.6,0.5
1642942,Jahmai Mashack,MEM,67,39,48,19,5,0,16.0,1.0,59,18,195.0,77.0,55.0,22.0,6.2,2.6,2.2
1642443,Jahmir Young,MIA,9,4,4,2,3,1,3.0,2.0,6,1,25.0,10.0,7.0,3.0,1.8,0.3,0.6
1643141,Jahmyl Telfort,LAC,0,0,0,0,0,0,2.0,0.0,2,0,4.0,0.0,0.0,0.0,0.1,0.4,0.1
1631170,Jaime Jaquez Jr.,MIA,316,215,349,156,67,35,64.0,28.0,119,30,915.0,464.0,235.0,229.0,15.4,5.0,4.7
1631222,Jake LaRavia,LAL,170,120,104,41,6,1,126.0,37.0,116,41,522.0,240.0,193.0,47.0,8.2,4.0,1.8
1627751,Jakob Poeltl,TOR,205,163,84,43,21,11,0.0,0.0,0,0,310.0,217.0,171.0,46.0,10.7,7.0,2.0
1628973,Jalen Brunson,NYK,210,134,424,203,313,157,91.0,37.0,437,158,1475.0,689.0,214.0,475.0,26.0,3.3,6.8
1631105,Jalen Duren,DET,548,399,221,111,34,12,0.0,0.0,0,0,803.0,522.0,338.0,184.0,19.5,10.5,2.0
1630224,Jalen Green,PHX,134,81,62,23,89,41,48.0,21.0,179,50,512.0,216.0,91.0,125.0,17.8,3.6,2.8
1630552,Jalen Johnson,ATL,384,268,361,150,142,62,25.0,6.0,316,114,1228.0,600.0,330.0,270.0,22.5,10.3,7.9
1629618,Jalen Pickett,DEN,32,20,37,16,36,13,31.0,12.0,96,37,232.0,98.0,62.0,36.0,5.2,2.3,2.3
1641771,Jalen Slawson,IND,24,17,8,2,5,0,8.0,2.0,32,13,77.0,34.0,31.0,3.0,7.3,4.4,2.8
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,195.0,169.0,26.0,10.2,6.7,1.2
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,282.0,159.0,123.0,13.8,3.9,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,216.0,86.0,130.0,17.1,4.6,5.5
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,110.0,82.0,28.0,6.4,2.1,0.9
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,74.0,60.0,14.0,5.4,2.0,0.7
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,654.0,279.0,375.0,25.4,4.4,7.1
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,185.0,104.0,81.0,6.6,1.7,5.4
1631123,Jamaree Bouyea,PHX,58,50,60,23,40,12,17.0,6.0,61,17,236.0,108.0,52.0,56.0,5.7,1.8,1.8
201935,James Harden,CLE,208,133,245,100,97,39,32.0,10.0,541,205,1123.0,487.0,120.0,367.0,23.6,4.8,8.0
1630164,James Wiseman,IND,7,5,2,1,1,0,0.0,0.0,0,0,10.0,6.0,4.0,2.0,3.3,2.0,0.8
1642364,Jamir Watkins,WAS,91,67,39,16,8,2,70.0,20.0,88,27,296.0,132.0,91.0,41.0,7.4,3.9,1.3
